_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
113607,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,6,200,"JUL 14, 2017",NA,NA,NA,NA,ORIGINAL,YES,NO,Recycling bins,YES,YES,NA,ORIGINAL,1981,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,1,4,2,16,YES,YES,Surface Parking,M1P,NA,YES,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,REAR OF BUILDING,4152737,NO,NO,NO,2950  LAWRENCE AVE E,YES,YES,1981,YES,PAID,21,DOUBLE PANE,1960,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113608,NONE,NA,YES,YES,YES,YES,NO,Not Available,6,48,"FEB 1, 2017",NA,NA,NA,NA,ORIGINAL,NA,NO,Green Bin / Organics,YES,NO,4 ,REPLACED,1990,HOT WATER,NO,YES,NO,NO,YES,8 AM - 11 PM,GROUND FLOOR,YES,0,2,1,8,NO,YES,Surface Parking,M1H,NONE,YES,MPM INC.,PRIVATE,1 BIG BIN (4 YARDS),4152739,NO,NO,NO,3210  LAWRENCE AVE E,YES,YES,1960,NO,FREE,24,DOUBLE PANE,1960,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113609,NONE,NA,YES,YES,YES,YES,NO,Not Available,6,112,"JUL 14, 2017",NA,NA,NA,NA,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,BACK OF THE BUIDLING ,REPLACED,2008,HOT WATER,YES,YES,YES,YES,YES,24 HOURS ,FIRST FLOOR ,YES,0,1,2,11,NO,YES,"Underground Garage , Surface Parking",M1H,NA,YES,NORTHVIEW APARTMENT REIT ,PRIVATE,BACK OF BUILDING ,4152745,NO,YES,NO,45  GREENBRAE CRCT ,YES,YES,1998,YES,FREE,24,SINGLE PANE,1960,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113610,NONE,"Outdoor pool , Outdoor rec facilities",YES,YES,YES,YES,YES,Not Available,13,149,"JUL 28, 2016",NA,NA,PLAYGROUND,"MOTOR, MAIN CONTROL PANEL, INTERIOR",REPLACED,NO,NO,Green Bin / Organics,YES,YES,AT THE BACK OF THE BUILDING,REPLACED,2008,HOT WATER,NO,YES,NO,YES,YES,9 AM - 9 PM,BASEMENT,NO,0,2,2,12,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1K,NA,NO,HOMESKY PROPERTIES INC.,PRIVATE,NEAR BUILDING SIDE ENTRANCE & NEAR PROPERTY FRONT ENTRANCE,4152749,NO,NO,NO,945  MIDLAND AVE ,YES,YES,1967,YES,FREE,21,DOUBLE PANE,1967,2008,2017,NA,NA,NA,NA,NA,NA,NA,NA
113611,NONE,NA,YES,YES,YES,YES,NO,0 indoor parking spots and 20 outdoor parking spots,6,76,"JUN 6, 2016",NA,NA,NA,WHOLE ELEVATOR ,REPLACED,NO,NO,Green Bin / Organics,YES,YES,ADJACENT TO GARBAGE AREA,ORIGINAL,1965,HOT WATER,NO,YES,NO,YES,YES,8AM -10PM,GROUND LEVEL,YES,0,2,2,10,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6L,NA,YES,FIRM CAPITAL PROPERTIES INC,PRIVATE,ADJACENT TO GARBAGE AREA,4154344,NO,YES,NO,1524  LAWRENCE AVE W,YES,YES,1963,YES,FREE,05,DOUBLE PANE,1963,2011,2017,NA,NA,NA,NA,NA,NA,NA,NA
113612,NONE,NA,YES,NO,YES,NO,NO,Not Available,3,11,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,2006,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT,YES,0,0,0,2,YES,YES,"Ground Level Garage , Surface Parking",M6L,NA,NO,CINTREX PROPERTY MANAGEMENT,PRIVATE,OUTDOOR,4154361,NO,YES,NO,2618  KEELE ST ,NO,NA,NA,NA,FREE,05,DOUBLE PANE,1955,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA
113613,NONE,NA,YES,NO,YES,NO,NO,0 indoor parking spots and 6 outdoor parking spots,3,11,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,2014,HOT WATER,NO,YES,NO,NO,YES,9AM-9PM,BASEMENT,NO,0,14,0,2,YES,YES,Surface Parking,M3K,NA,YES,WESTHAVEN PROPERTY MANAGEMENT INC.,PRIVATE,OUTDOOR,4154368,NO,YES,NO,825  WILSON AVE ,NO,NA,NA,NA,FREE,06,DOUBLE PANE,1953,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113614,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Child play area",YES,YES,YES,YES,YES,Not Available,9,141,"JAN 15, 2020",OUTDOOR PLAYSET WITH SLIDES,CARDIO EQUIPMENT AND WEIGHT MACHINES AND TV,"CHILDREN'S PLAYGROUND, LANDSCAPE GROUNDS",MAJOR MODERNIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,REPLACED,2013,HOT WATER,NO,YES,YES,YES,YES,8AM TO 11PM,MAIN FLOOR,NO,0,1,2,14,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1L,"DOG MAX. 23KG, MAX. 2 PETS PER SUITE",YES,BENTALLGREENOAK,PRIVATE,OUTSIDE,4154854,NO,YES,NO,1530  VICTORIA PARK AVE ,YES,YES,1982,YES,FREE,16,DOUBLE PANE,1982,2005,2017,NA,NA,NA,NA,NA,NA,NA,NA
113615,NONE,NA,YES,NO,YES,YES,NO,Not Available,4,28,"MAR 3, 2017",NA,NA,NA,"ALL CONTROLS, MOTORS WIRING,CAB UPGRADE ",REPLACED,NA,NO,Recycling bins,YES,NO,NA,REPLACED,2017,HOT WATER,NO,YES,NO,NO,YES,9 A.M - 9 P.M,SECOND FLOOR ,YES,0,1,1,4,YES,NO,Surface Parking,M1R,SMALL BREED ,YES,CENTURION PROPERTY ASSOCIATES INC.,PRIVATE,OUTSIDE -PARKING LOT AREA ,4154863,NO,YES,NO,1594  VICTORIA PARK AVE ,NO,NA,NA,YES,FREE,16,DOUBLE PANE,1956,2014,2017,NA,NA,NA,NA,NA,NA,NA,NA
113616,NONE,NA,YES,YES,YES,YES,NO,Not Available,4,64,"OCT 15, 2021",NA,NA,NA,FULL MODERNIZATION,REPLACED,NA,NO,Green Bin / Organics,YES,YES,REAR OF BUILDING,REPLACED,2011,HOT WATER,NO,YES,NO,NO,YES,8AM-10PM,GROUND FLOOR,YES,0,0,1,8,YES,YES,"Ground Level Garage , Surface Parking",M4A,NA,YES,PINEDALE PROPERTIES LTD,PRIVATE,REAR OF BUILDING,4154871,NO,YES,NO,21  ECCLESTON DR ,YES,YES,1960,YES,FREE,16,DOUBLE PANE,1960,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA
113617,NONE,NA,YES,YES,YES,YES,NO,Not Available,4,60,"OCT 15, 2021",NA,NA,NA,FULL MODERNIZATION,REPLACED,NA,NO,Green Bin / Organics,YES,YES,REAR OF BUILDING,REPLACED,2017,HOT WATER,NO,YES,NO,NO,YES,8AM-10PM,GROUND FLOOR,YES,0,0,1,6,YES,YES,"Ground Level Garage , Surface Parking",M4A,NA,YES,PINEDALE PROPERTIES LTD,PRIVATE,REAR OF BUILDING,4154876,NO,YES,NO,26  SLOANE AVE ,YES,YES,1960,YES,FREE,16,DOUBLE PANE,1960,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA
113618,NONE,NA,YES,YES,YES,YES,YES,0 indoor parking spots and 3 outdoor parking spots,5,52,"MAY 1, 2017",NA,NA,NA,CHANGED TO SINGLE CABLE TO DOUBLE CABLE,REPLACED,YES,NO,Recycling bins,YES,NO,NA,REPLACED,2007,HOT WATER,NO,YES,NO,YES,YES,8:00 AM TO 8:00 PM,FIRST FLOOR,YES,52,26,1,6,NO,YES,"Underground Garage , Ground Level Garage , Surface Parking",M1R,NA,YES,FUTURE WEST LIVING,PRIVATE,SIDE OF BUILDING,4154879,NO,YES,NO,1698  VICTORIA PARK AVE ,NO,NA,NA,YES,FREE,16,DOUBLE PANE,1966,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA
113619,CENTRAL AIR,"Indoor pool , Indoor recreation room , Indoor exercise room , Sauna",YES,YES,YES,YES,YES,55 indoor parking spots and 10 outdoor parking spots,23,375,"JUL 26, 2016",NA,FITNESS MACHINES AND FREE WEIGHTS,NA,COMPLETE,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2005,HOT WATER,NO,YES,YES,YES,YES,24,MAIN FLOOR,YES,375,0,4,36,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M5A,NA,YES,WJ PROPERTIES,PRIVATE,OUTSIDE,4153476,NO,YES,NO,140  CARLTON ST ,YES,YES,2014,NO,FREE,13,SINGLE PANE,1973,2013,2017,NA,NA,NA,NA,NA,NA,NA,NA
113620,NONE,Indoor recreation room,YES,YES,YES,NO,YES,Not Available,10,82,"APR 25, 2016",NA,NA,NA,NA,ORIGINAL,YES,NO,Unknown,YES,YES,NA,ORIGINAL,1995,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,2,6,2,12,YES,YES,"Underground Garage , Garage accessible thru buildg",M4Y,NA,YES,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,NA,4153478,NO,NO,NO,330  JARVIS ST ,YES,YES,1995,YES,UNAVAILABLE,13,DOUBLE PANE,1995,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113621,NONE,NA,YES,NO,YES,YES,NO,10 indoor parking spots and 7 outdoor parking spots,12,96,"AUG 17, 2016",NA,NA,NA,CAB MODERNIZATION AND MECHANICAL,REPLACED,NA,NO,Green Bin / Organics,YES,YES,OUTSIDE REAR ENTRANCE,ORIGINAL,1968,ELECTRIC,YES,YES,NO,NO,YES,24 HOURS,GROUND FLOOR,YES,0,0,2,8,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4Y,NA,YES,COLONIA TREUHAND MANAGEMENT INC.,PRIVATE,OUTSIDE REAR ENTRANCE,4153486,NO,NO,NO,100  ALEXANDER ST ,YES,YES,1968,YES,FREE,13,SINGLE PANE,1968,2012,2017,NA,NA,NA,NA,NA,NA,NA,NA
113622,NONE,NA,YES,YES,YES,YES,NO,8 indoor parking spots and 0 outdoor parking spots,4,41,"APR 5, 2017",NA,NA,NA,FULL MODERNIZATION,REPLACED,NA,YES,Green Bin / Organics,YES,NO,ONE ON EACH FLOOR,REPLACED,2000,HOT WATER,YES,YES,NO,NO,YES,24HRS,BASEMENT ,YES,0,0,1,4,YES,NO,"Underground Garage , Garage accessible thru buildg",M4R,NA,YES,O'SHANTER DEVELOPMENT COMPANY LTD.,PRIVATE,UNDERGROUNG PARKING GARAGE,4154024,NO,YES,NO,14  CHATSWORTH DR ,YES,YES,1940,YES,UNAVAILABLE,08,DOUBLE PANE,1936,2014,2017,NA,NA,NA,NA,NA,NA,NA,NA
113623,NONE,NA,YES,YES,YES,NO,NO,Not Available,4,41,"AUG 15, 2017",NA,NA,NA,ALL,REPLACED,YES,NO,Green Bin / Organics,YES,NO,DRIVEWAY,REPLACED,2009,HOT WATER,NO,YES,NO,YES,YES,ALL THE TIME,BASEMENT,YES,0,0,1,4,NO,YES,Underground Garage,M4N,NA,NO,RANEE MANAGEMENT,PRIVATE,DRIVEWAY,4154027,NO,YES,NO,3112  YONGE ST ,NO,NA,NA,YES,UNAVAILABLE,08,DOUBLE PANE,1957,2016,2017,NA,NA,NA,NA,NA,NA,NA,NA
113624,NONE,NA,YES,YES,YES,NO,NO,3 indoor parking spots and 0 outdoor parking spots,4,41,"AUG 15, 2017",NA,NA,NA,ALL,REPLACED,NA,NO,Recycling bins,YES,NO,NA,REPLACED,2012,FORCED AIR GAS,NO,YES,NO,NO,YES,ALL THE TIME,BASEMENT,YES,0,0,1,4,NO,YES,Underground Garage,M4N,NOT ALLOWED,NO,RANEE MANAGEMENT,PRIVATE,OUTSIDE - DRIVEWAY,4154028,NO,YES,NO,3110  YONGE ST ,YES,YES,1989,YES,UNAVAILABLE,08,DOUBLE PANE,1957,2016,2017,NA,NA,NA,NA,NA,NA,NA,NA
113625,NONE,NA,YES,NO,YES,YES,NO,Not Available,4,67,"DEC 15, 2015",NA,NA,NA,COMPLETE ELEVATOR WAS MODERNIZED,REPLACED,NA,NO,Green Bin / Organics,YES,NO,NEXT TO GARBAGE CONTAINER OUTSIDE,REPLACED,2000,HOT WATER,NO,YES,NO,NO,YES,24 HOUR,1ST FLOOR,NO,0,70,1,8,YES,YES,Surface Parking,M4B,NO PETS ALLOWED,NO,NA,PRIVATE,NEXT TO GARBAGE CONTAINER OUTSIDE,4154043,NO,NO,NO,506  DAWES RD ,YES,YES,1958,YES,FREE,19,DOUBLE PANE,1958,2009,2017,NA,NA,NA,NA,NA,NA,NA,NA
113626,NONE,NA,YES,YES,YES,NO,NO,20 indoor parking spots and 0 outdoor parking spots,4,30,"JUL 14, 2017",NA,NA,NA,NA,ORIGINAL,NA,NO,Green Bin / Organics,YES,NO,OUTSIDE DRIVEWAY,REPLACED,1998,ELECTRIC,NO,YES,NO,NO,YES,24 HOURS,GROUND FLOOR,YES,0,0,1,6,NO,YES,NA,M4Y,NA,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,OUTDOOR,4153496,NO,YES,NO,77  WELLESLEY ST E,YES,YES,1926,NO,UNAVAILABLE,13,DOUBLE PANE,1926,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113627,NONE,NA,YES,YES,YES,NO,YES,Not Available,8,88,"DEC 1, 2017",NA,NA,NA,COMPLETE RETROFIT,REPLACED,NA,NO,Recycling bins,YES,NO,NA,ORIGINAL,1965,HOT WATER,NO,YES,NO,NO,YES,9 TO 9,2ND FLOOR,NO,0,0,2,6,NO,YES,"Ground Level Garage , Carport , Surface Parking",M4Y,NA,YES,HAZELVIEW PROPERTIES,PRIVATE,SIDE,4153497,NO,YES,NO,85  WELLESLEY ST E,YES,YES,2007,YES,PAID,13,DOUBLE PANE,1965,2015,2018,NA,NA,NA,NA,NA,NA,NA,NA
113628,INDIVIDUAL UNITS,"Indoor pool , Indoor exercise room",YES,YES,YES,YES,NO,60 indoor parking spots and 0 outdoor parking spots,28,427,"MAY 15, 2017",NA,GYM WITH WEIGHTS AND CARDIO MACHINES,NA,NA,ORIGINAL,NA,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,REPLACED,2011,ELECTRIC,NO,YES,YES,NO,YES,24 HRS,BASEMENT LEVEL 1,YES,0,0,4,40,NO,YES,"Underground Garage , Garage accessible thru buildg",M4Y,NA,YES,CAPREIT,PRIVATE,BACK OF THE BUILDING,4153508,NO,YES,NO,100  WELLESLEY ST E,YES,YES,1968,YES,FREE,13,DOUBLE PANE,1968,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113629,NONE,NA,YES,YES,YES,YES,NO,Not Available,18,107,"JUN 1, 2017",NA,NA,NA,NA,ORIGINAL,NA,NO,Recycling bins,YES,NO,NA,ORIGINAL,1968,ELECTRIC,NO,YES,NO,NO,YES,7AM - 10PM,GROUND FLOOR,YES,0,2,2,12,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4Y,NA,NO,HAZELVIEW PROPERTY SERVICES INC,PRIVATE,WEST SIDE OF BUILDING,4153511,NO,NO,NO,41  DUNDONALD ST ,NO,NA,NA,YES,BOTH,13,DOUBLE PANE,1968,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113630,NONE,NA,YES,YES,YES,YES,NO,20 indoor parking spots and 0 outdoor parking spots,7,56,"JAN 23, 2020",NA,NA,NA,"CABLE SIGNAL AND FIXTURE, INFRA RED DOOR, DOOR OPERATORS",REPLACED,NA,NO,Recycling bins,YES,NO,NA,REPLACED,2003,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,MAIN FLOOR,YES,0,0,1,6,YES,YES,Underground Garage,M4Y,NA,YES,PINEDALE PROPERTIES LTD,PRIVATE,DRIVEWAY AT THE FRONT,4153522,NO,YES,NO,137  ISABELLA ST ,YES,YES,1960,YES,UNAVAILABLE,13,DOUBLE PANE,1960,2003,2017,NA,NA,NA,NA,NA,NA,NA,NA
113631,NONE,Indoor pool,YES,YES,YES,YES,YES,34 indoor parking spots and 6 outdoor parking spots,20,116,"MAY 29, 2017",NA,NA,NA,"MACHINES, CONTROLLERS AND INTERIOR.",REPLACED,YES,NO,Recycling bins,YES,YES,NA,ORIGINAL,1960,ELECTRIC,YES,YES,YES,YES,YES,8AM-10PM,GROUND FLOOR,YES,0,99,2,12,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M4Y,NA,YES,GLEN CORPORATION,PRIVATE,INSIDE,4153526,NO,YES,NO,10  HUNTLEY ST ,YES,YES,1960,YES,FREE,13,DOUBLE PANE,1960,2008,2017,NA,NA,NA,NA,NA,NA,NA,NA
113632,NONE,"Outdoor rec facilities , Child play area",YES,YES,YES,YES,YES,0 indoor parking spots and 12 outdoor parking spots,10,108,"MAY 15, 2019",PLAYGROUND,NA,PLAYGROUND,MODERNIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,NO,FRONT OF BUILDING,REPLACED,2002,HOT WATER,NO,YES,NO,YES,YES,9:00AM TO 10:00PM,2ND FLOOR,YES,0,1,2,12,NO,YES,"Carport , Surface Parking",M4B,N/A,YES,CAPREIT,PRIVATE,FRONT OF BUILDING,4154055,NO,YES,NO,6  PARK VISTA  ,YES,YES,1971,YES,FREE,19,SINGLE PANE,1971,2007,2017,NA,NA,NA,NA,NA,NA,NA,NA
113633,NONE,Outdoor pool,YES,YES,YES,YES,YES,0 indoor parking spots and 12 outdoor parking spots,8,84,"MAY 15, 2019",NA,NA,NA,ELEVATOR MODERNIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,NO,BACK OF BUILDING,REPLACED,2013,HOT WATER,NO,YES,NO,YES,YES,8:00AM TO 10:00PM ,2ND FLOOR,YES,0,1,2,12,NO,YES,"Carport , Surface Parking",M4B,NA,YES,CAPREIT,PRIVATE,BACK OF BUILDING,4154057,NO,YES,NO,7  PARK VISTA  ,YES,YES,1971,YES,FREE,19,SINGLE PANE,1971,2007,2017,NA,NA,NA,NA,NA,NA,NA,NA
113634,NONE,NA,YES,NO,YES,NO,YES,0 indoor parking spots and 6 outdoor parking spots,3,57,NA,NA,NA,NA,NA,NA,NA,NO,Unknown,YES,NO,NA,REPLACED,1990,HOT WATER,NO,YES,NO,NO,YES,9 AM TO 9 PM,1ST FLOOR,YES,14,0,0,10,NO,YES,Surface Parking,M4B,NA,YES,FALCO PROPERTIES,PRIVATE,NA,4154059,NO,YES,NO,127  GLENWOOD CRES ,YES,YES,1987,NA,FREE,19,DOUBLE PANE,1955,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113635,CENTRAL AIR,"Indoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Child play area , Sauna",YES,YES,YES,NO,YES,60 indoor parking spots and 10 outdoor parking spots,21,438,"MAR 16, 2016","SLIDE, SWINGS ","TREADMILLS, FREE WEIGHTS, UNIVERSAL",CHILDRENS PLAY AREA,FULL MODERIZATION - BUILDING C COMPLETED IN 2015,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2008,HOT WATER,NO,YES,YES,YES,YES,24HR,GROUND FLOOR BUILDING C,NO,0,3,7,11,NO,YES,"Underground Garage , Garage accessible thru buildg",M2N,N/A,YES,QUADREAL RESIDENTIAL PROPERTIES G.P. INC.,PRIVATE,OUTSIDE,4154753,NO,YES,NO,77  FINCH AVE E,YES,YES,1985,YES,FREE,18,DOUBLE PANE,1985,2009,2017,NA,NA,NA,NA,NA,NA,NA,NA
113636,NONE,"Indoor pool , Sauna",YES,YES,YES,YES,YES,Not Available,17,297,"JUL 17, 2017",NA,NA,NA,COMPLETE MODERNIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,REPLACED,2015,FORCED AIR GAS,NO,YES,YES,YES,YES,24 HOURS,MAIN FLOOR,YES,0,2,3,12,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3C,NONE,YES,"PRESTON GROUP - TORONTO, ON",PRIVATE,BACK OF BUILDING,4154765,NO,YES,NO,25  ST DENNIS DR ,YES,YES,1969,NO,BOTH,16,DOUBLE PANE,1967,2010,2017,NA,NA,NA,NA,NA,NA,NA,NA
113637,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,7,247,"APR 22, 2016",NA,NA,NA,FULL REPLACEMENT - ECCI-ELEVATOR CONTROL CANADA,REPLACED,YES,NO,Unknown,YES,YES,NA,ORIGINAL,1981,HOT WATER,YES,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,4,4,2,12,YES,YES,"Underground Garage , Garage accessible thru buildg",M3C,NA,YES,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,NA,4154766,NO,NO,NO,10  DEAUVILLE LANE ,YES,YES,1981,YES,UNAVAILABLE,16,DOUBLE PANE,1981,2005,2017,NA,NA,NA,NA,NA,NA,NA,NA
113638,NONE,"Indoor pool , Indoor recreation room , Sauna",YES,YES,YES,YES,YES,Not Available,17,284,"MAR 15, 2017",NA,NA,NA,COMPLETE,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2006,HOT WATER,NO,YES,YES,YES,YES,24,MAIN FLOOR,YES,284,0,3,23,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3C,NA,YES,WJ PROPERTIES,PRIVATE,OUTSIDE,4154768,NO,YES,NO,10  GRENOBLE DR ,YES,YES,2013,NO,FREE,16,DOUBLE PANE,1969,2009,2017,NA,NA,NA,NA,NA,NA,NA,NA
113639,NONE,Child play area,YES,NO,YES,YES,NO,0 indoor parking spots and 12 outdoor parking spots,3,64,"AUG 17, 2015",PLAY STRUCTURE WITH SLIDE,NA,NA,MECHANICAL ELEVATOR MODERNIZATION AND CAB INTERIOR,REPLACED,YES,NO,Green Bin / Organics,YES,YES,EAST SIDE OF BUILDING,ORIGINAL,1960,ELECTRIC,NO,YES,NO,YES,YES,8 AM TO 10 PM,THIRD FLOOR,NO,0,0,1,8,NO,YES,"Underground Garage , Surface Parking",M3C,AS PER LEASING AGREEMENT,YES,BRIARLANE RENTAL PROPERTY MANAGEMENT INC,PRIVATE,EAST SIDE OF BUILDING,4154770,NO,YES,NO,7  ROCHEFORT DR ,YES,YES,1960,YES,FREE,16,DOUBLE PANE,1960,2006,2017,NA,NA,NA,NA,NA,NA,NA,NA
113640,NONE,Indoor recreation room,YES,YES,YES,YES,YES,10 indoor parking spots and 0 outdoor parking spots,4,70,"JUL 31, 2016",NA,NA,NA,NA,ORIGINAL,YES,NO,Recycling bins,YES,YES,NA,ORIGINAL,1989,ELECTRIC,YES,YES,YES,YES,YES,24/7,EACH FLOOR,YES,25,12,2,16,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3C,NA,YES,GREENWIN CORP.,SOCIAL HOUSING,OUTSIDE REAR OF BUILDING,4154772,NO,NO,NO,7  THE DONWAY  E,YES,YES,1989,YES,FREE,16,DOUBLE PANE,1989,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113641,NONE,NA,NO,NO,YES,YES,YES,Not Available,4,61,"JUN 25, 2017",NA,NA,NA,COMPLETE ELEVATOR RETROFIT,REPLACED,NA,NO,Green Bin / Organics,YES,YES,REAR OF BUILDING,REPLACED,2002,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,MAIN FLOOR,YES,0,0,1,6,NO,YES,"Ground Level Garage , Surface Parking",M3C,NA,NO,THREE R PROPERTY MANAGEMENT CORPORATION,PRIVATE,REAR OF BUILDING,4154782,NO,YES,NO,1071  DON MILLS RD ,YES,NO,1959,NO,FREE,16,DOUBLE PANE,1959,2001,2017,NA,NA,NA,NA,NA,NA,NA,NA
113642,NONE,NA,NO,NO,YES,YES,YES,Not Available,4,61,"JUL 15, 2017",NA,NA,NA,COMPLETE ELEVATOR RETROFIT,REPLACED,NA,NO,Green Bin / Organics,YES,YES,NORTH SIDE OF BUILDING,REPLACED,2008,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,MAIN FLOOR,YES,1,2,1,6,NO,YES,"Ground Level Garage , Surface Parking",M3C,NA,NO,THREE R PROPERTY MANAGEMENT CORPORATION,PRIVATE,NORTH SIDE OF BUILDING,4154785,NO,YES,NO,16  THE DONWAY  E,YES,NO,1959,NO,FREE,16,DOUBLE PANE,1959,2001,2017,NA,NA,NA,NA,NA,NA,NA,NA
