entrance_accessibility,inaccessible_units,accessible_units,percent_accessible,year_built,year_of_replacement,property_type,ward
NO,239,0,0,1964,2001,PRIVATE,13
NO,31,0,0,1950,NA,PRIVATE,14
NO,23,0,0,1955,NA,PRIVATE,04
NA,90,0,0,1960,NA,PRIVATE,04
YES,47,1,2.083333333333333,1917,NA,PRIVATE,04
NO,17,0,0,1900,NA,PRIVATE,04
YES,43,0,0,1960,NA,PRIVATE,04
NO,117,0,0,1964,2015,PRIVATE,04
NO,100,0,0,1962,NA,PRIVATE,04
YES,50,1,1.9607843137254901,1993,NA,TCHC,14
YES,173,1,0.5747126436781609,1983,2009,SOCIAL HOUSING,14
YES,112,2,1.7543859649122806,1980,2005,TCHC,04
NO,30,0,0,1940,NA,PRIVATE,04
NO,24,0,0,1930,NA,PRIVATE,04
NO,46,0,0,1960,2013,PRIVATE,04
NO,13,0,0,1918,NA,TCHC,04
YES,11,0,0,1990,NA,SOCIAL HOUSING,14
NO,16,0,0,1920,NA,PRIVATE,19
NO,62,0,0,1950,NA,PRIVATE,19
NO,24,0,0,1960,NA,PRIVATE,19
NO,19,0,0,2008,NA,PRIVATE,09
NO,12,0,0,1964,NA,PRIVATE,19
NO,68,0,0,1957,2016,PRIVATE,19
YES,89,1,1.1111111111111112,1954,NA,TCHC,19
YES,37,1,2.631578947368421,1967,2011,TCHC,19
YES,12,2,14.285714285714285,1994,NA,SOCIAL HOUSING,19
NO,163,0,0,1969,2010,PRIVATE,12
NO,307,0,0,1970,2015,PRIVATE,12
YES,127,1,0.78125,1980,2012,TCHC,11
YES,10,5,33.33333333333333,1918,NA,PRIVATE,11
NO,37,0,0,1941,NA,PRIVATE,15
YES,108,2,1.8181818181818181,1990,NA,TCHC,15
NO,74,0,0,1959,NA,PRIVATE,15
YES,180,0,0,1964,2001,PRIVATE,12
NO,59,0,0,1967,2012,PRIVATE,12
NO,63,0,0,1955,NA,PRIVATE,12
YES,40,2,4.761904761904762,1993,NA,SOCIAL HOUSING,12
YES,63,1,1.5625,1983,2004,TCHC,12
YES,130,0,0,1982,2011,SOCIAL HOUSING,12
NO,41,0,0,1931,2007,PRIVATE,12
YES,49,0,0,1960,2008,PRIVATE,12
NO,60,0,0,1970,NA,PRIVATE,12
NO,54,0,0,1960,NA,PRIVATE,12
NO,13,0,0,1918,NA,PRIVATE,12
NO,13,0,0,1955,NA,PRIVATE,03
NO,13,0,0,1954,2018,PRIVATE,03
YES,20,0,0,2016,NA,SOCIAL HOUSING,20
NO,11,0,0,1949,NA,PRIVATE,06
NO,12,0,0,1951,NA,PRIVATE,19
NO,11,0,0,1953,NA,PRIVATE,19
NO,14,0,0,1925,NA,PRIVATE,19
NO,30,0,0,1928,NA,PRIVATE,13
NO,32,0,0,1950,NA,PRIVATE,12
YES,115,0,0,1959,NA,PRIVATE,07
NO,16,0,0,1960,NA,PRIVATE,04
YES,152,24,13.636363636363635,2016,NA,PRIVATE,07
NO,30,0,0,1918,NA,PRIVATE,12
NO,23,0,0,1920,NA,PRIVATE,19
YES,127,1,0.78125,2014,NA,TCHC,13
NO,29,0,0,1962,NA,PRIVATE,03
NO,38,0,0,1957,NA,PRIVATE,03
YES,144,102,41.46341463414634,2021,NA,PRIVATE,10
YES,0,793,100,1972,2015,PRIVATE,11
NO,32,0,0,1928,NA,PRIVATE,13
NO,16,0,0,1973,NA,TCHC,17
YES,264,0,0,2020,NA,PRIVATE,04
YES,210,0,0,2021,NA,PRIVATE,11
YES,328,5,1.5015015015015014,2021,2021,PRIVATE,03
NO,12,0,0,1965,NA,PRIVATE,14
NO,23,0,0,1950,NA,PRIVATE,03
NO,23,0,0,1930,NA,PRIVATE,19
YES,52,1,1.8867924528301887,2022,NA,PRIVATE,06
NO,17,0,0,1930,NA,PRIVATE,11
NO,11,0,0,1950,NA,PRIVATE,15
NO,22,0,0,1950,NA,PRIVATE,02
NO,16,0,0,1958,NA,PRIVATE,05
NO,15,0,0,1940,NA,PRIVATE,04
NO,11,0,0,1959,NA,PRIVATE,16
NO,28,0,0,1951,NA,PRIVATE,05
NO,14,0,0,1959,NA,PRIVATE,03
NA,10,0,0,NA,NA,PRIVATE,04
YES,131,15,10.273972602739725,2019,NA,PRIVATE,24
NO,20,0,0,1950,NA,SOCIAL HOUSING,19
NO,371,0,0,1965,NA,PRIVATE,04
NO,11,0,0,1945,NA,PRIVATE,18
NO,11,0,0,1945,NA,PRIVATE,18
NO,20,0,0,1958,NA,PRIVATE,20
NO,21,0,0,1958,NA,PRIVATE,20
YES,77,0,0,1971,2000,PRIVATE,03
NO,12,0,0,1955,NA,PRIVATE,19
YES,30,25,45.45454545454545,2007,NA,PRIVATE,11
NO,111,0,0,1957,NA,PRIVATE,21
NO,32,0,0,1938,NA,PRIVATE,12
NO,22,0,0,1913,NA,PRIVATE,11
NO,152,0,0,1957,2003,PRIVATE,12
NO,14,0,0,2007,NA,SOCIAL HOUSING,09
NO,12,0,0,1970,NA,PRIVATE,02
NO,74,0,0,1967,2016,PRIVATE,12
NO,37,0,0,1991,NA,SOCIAL HOUSING,13
YES,0,65,100,1989,NA,PRIVATE,21
NO,45,0,0,1987,NA,SOCIAL HOUSING,11
YES,222,120,35.08771929824561,2017,NA,PRIVATE,12
YES,0,202,100,1960,2000,PRIVATE,06
YES,293,0,0,1970,2015,PRIVATE,19
YES,124,3,2.3622047244094486,1983,NA,SOCIAL HOUSING,04
NO,16,0,0,1926,NA,PRIVATE,11
NO,66,0,0,1975,2014,PRIVATE,12
NO,16,0,0,1922,NA,PRIVATE,04
NO,20,0,0,1900,NA,PRIVATE,04
YES,310,5,1.5873015873015872,2020,NA,PRIVATE,15
YES,36,1,2.7027027027027026,1962,NA,PRIVATE,06
YES,0,66,100,1993,NA,SOCIAL HOUSING,03
NO,10,0,0,1920,NA,PRIVATE,11
NO,109,0,0,1968,2008,PRIVATE,16
NO,29,0,0,1955,NA,PRIVATE,09
NO,267,0,0,1972,NA,PRIVATE,20
NO,10,0,0,1953,NA,PRIVATE,07
YES,69,2,2.8169014084507045,1985,NA,PRIVATE,07
NO,52,0,0,1972,2017,PRIVATE,07
NO,83,0,0,1968,2015,PRIVATE,18
NO,65,0,0,1958,1999,PRIVATE,18
NO,25,0,0,1958,NA,PRIVATE,03
NO,42,0,0,1953,NA,PRIVATE,03
YES,90,2,2.1739130434782608,2005,NA,SOCIAL HOUSING,25
NO,38,0,0,1956,NA,PRIVATE,21
NO,26,0,0,1955,NA,PRIVATE,21
NO,33,0,0,1955,NA,PRIVATE,21
NO,54,0,0,1954,NA,PRIVATE,21
NO,54,0,0,1954,NA,PRIVATE,21
YES,157,9,5.421686746987952,1993,NA,SOCIAL HOUSING,07
NO,55,0,0,1961,2004,PRIVATE,07
NO,59,0,0,1961,2004,PRIVATE,07
NO,12,0,0,1973,NA,PRIVATE,07
NO,16,0,0,1952,NA,PRIVATE,07
YES,426,2,0.46728971962616817,1977,NA,PRIVATE,07
NO,169,0,0,1974,2007,PRIVATE,07
NO,96,0,0,1965,2015,PRIVATE,07
YES,4,93,95.87628865979381,1960,NA,PRIVATE,07
NO,12,0,0,1960,NA,PRIVATE,16
NO,11,0,0,1960,NA,PRIVATE,16
YES,23,2,8,2000,2012,TCHC,10
YES,306,2,0.6493506493506493,1966,2017,PRIVATE,15
YES,71,0,0,1960,2012,PRIVATE,15
YES,71,0,0,1960,2014,PRIVATE,15
YES,57,0,0,1960,2013,PRIVATE,15
NO,60,0,0,1960,1997,PRIVATE,15
NO,22,0,0,1955,NA,PRIVATE,08
NO,44,0,0,1956,NA,PRIVATE,08
NO,15,0,0,1940,NA,PRIVATE,08
YES,56,0,0,1956,2001,PRIVATE,08
NO,93,0,0,1961,NA,PRIVATE,05
NO,22,0,0,1954,NA,PRIVATE,05
NO,10,0,0,1954,NA,PRIVATE,05
YES,102,4,3.7735849056603774,1994,NA,SOCIAL HOUSING,19
YES,289,2,0.6872852233676976,2010,NA,PRIVATE,09
YES,262,2,0.7575757575757576,2008,NA,PRIVATE,05
YES,61,1,1.6129032258064515,1950,2006,PRIVATE,03
YES,244,0,0,1963,2004,PRIVATE,13
NO,11,1,8.333333333333332,1980,NA,TCHC,13
YES,151,1,0.6578947368421052,1980,2015,TCHC,07
YES,116,2,1.694915254237288,1968,NA,PRIVATE,20
NO,16,0,0,1944,NA,PRIVATE,15
YES,0,30,100,1959,NA,PRIVATE,06
YES,142,0,0,1960,2004,PRIVATE,06
YES,3,27,90,1962,NA,PRIVATE,18
YES,231,2,0.8583690987124464,1970,2015,PRIVATE,18
NO,47,0,0,1960,NA,PRIVATE,04
NO,21,0,0,1949,NA,PRIVATE,03
NO,40,0,0,1949,NA,PRIVATE,03
NO,15,0,0,1957,NA,PRIVATE,03
NO,25,0,0,1967,NA,PRIVATE,03
NO,25,0,0,1970,NA,PRIVATE,03
YES,151,0,0,1961,2012,PRIVATE,03
YES,0,232,100,2006,NA,PRIVATE,17
YES,56,2,3.4482758620689653,1965,NA,TCHC,01
YES,95,0,0,1963,NA,PRIVATE,15
NO,30,0,0,1954,NA,PRIVATE,20
NO,37,0,0,1959,NA,PRIVATE,20
NO,52,0,0,1960,2009,PRIVATE,12
NO,48,0,0,1960,2007,PRIVATE,12
YES,0,232,100,2005,NA,PRIVATE,10
YES,165,1,0.6024096385542169,1983,2010,TCHC,10
NO,33,0,0,1938,2017,PRIVATE,12
NO,41,0,0,1952,2017,PRIVATE,12
NO,44,0,0,1955,NA,PRIVATE,12
YES,0,91,100,1963,2017,PRIVATE,08
NO,65,0,0,1953,2016,PRIVATE,08
YES,25,1,3.8461538461538463,1992,NA,TCHC,10
NO,24,0,0,1985,NA,PRIVATE,11
NO,268,0,0,1970,2009,PRIVATE,11
YES,138,0,0,1965,2017,PRIVATE,08
YES,39,1,2.5,1941,NA,TCHC,08
NO,52,0,0,1960,NA,PRIVATE,08
NO,36,0,0,1967,2018,PRIVATE,08
YES,14,6,30,1918,NA,SOCIAL HOUSING,13
NO,1,120,99.17355371900827,1974,2005,PRIVATE,13
YES,10,2,16.666666666666664,1838,NA,PRIVATE,13
YES,39,3,7.142857142857142,1991,NA,SOCIAL HOUSING,13
NO,85,0,0,1956,2012,PRIVATE,08
NO,29,0,0,1928,NA,PRIVATE,12
NO,10,0,0,1950,NA,PRIVATE,12
NO,21,0,0,1954,NA,PRIVATE,08
YES,324,2,0.6134969325153374,1980,NA,TCHC,11
NO,92,0,0,1960,2007,PRIVATE,13
NO,76,0,0,1960,2013,PRIVATE,13
YES,67,0,0,1960,2014,PRIVATE,13
NO,56,0,0,1952,2013,PRIVATE,04
NO,27,0,0,1960,NA,PRIVATE,04
YES,65,0,0,1965,NA,PRIVATE,04
YES,73,0,0,1965,NA,PRIVATE,04
NO,121,0,0,1962,NA,PRIVATE,04
NO,279,0,0,1967,2010,PRIVATE,13
NO,38,0,0,1923,NA,PRIVATE,13
YES,239,0,0,1964,2001,PRIVATE,13
NO,291,0,0,1968,2001,PRIVATE,14
NO,24,0,0,1950,NA,PRIVATE,14
NO,28,0,0,1956,NA,PRIVATE,04
NO,80,0,0,1960,1998,PRIVATE,04
YES,38,0,0,1912,NA,PRIVATE,04
NO,27,0,0,1930,NA,PRIVATE,04
YES,40,2,4.761904761904762,1953,2007,TCHC,04
NO,18,0,0,1916,NA,PRIVATE,04
YES,23,6,20.689655172413794,1996,NA,SOCIAL HOUSING,14
NO,18,0,0,1970,NA,PRIVATE,02
YES,0,14,100,1959,NA,PRIVATE,02
NO,36,0,0,1970,NA,PRIVATE,03
YES,271,0,0,1970,2012,PRIVATE,01
YES,35,0,0,1959,2016,PRIVATE,12
YES,328,0,0,1971,2008,PRIVATE,01
YES,156,5,3.1055900621118013,1965,2005,TCHC,20
YES,228,3,1.2987012987012987,1972,1999,TCHC,20
YES,61,5,7.575757575757576,1970,1994,TCHC,21
NO,23,0,0,1958,NA,PRIVATE,05
NO,23,0,0,1958,NA,PRIVATE,05
NO,12,0,0,1955,NA,PRIVATE,05
NO,29,0,0,1959,2014,PRIVATE,17
YES,327,3,0.9090909090909091,1977,1996,TCHC,16
YES,234,0,0,1972,2013,PRIVATE,02
NO,32,0,0,1970,NA,PRIVATE,04
YES,295,4,1.3377926421404682,1959,2017,TCHC,04
NO,21,0,0,1897,NA,SOCIAL HOUSING,04
YES,292,2,0.6802721088435374,1966,2016,PRIVATE,04
NO,24,0,0,1959,NA,SOCIAL HOUSING,19
YES,20,0,0,2003,NA,SOCIAL HOUSING,09
NO,24,0,0,1930,NA,PRIVATE,09
NO,38,0,0,1974,NA,PRIVATE,19
NO,11,0,0,1932,NA,PRIVATE,09
YES,155,2,1.2738853503184715,1989,2017,TCHC,11
YES,113,0,0,1971,2001,PRIVATE,09
YES,48,0,0,1988,NA,SOCIAL HOUSING,19
NO,36,0,0,1969,2016,PRIVATE,11
NO,53,0,0,1950,2015,PRIVATE,11
YES,267,0,0,1969,2013,PRIVATE,11
NO,24,0,0,1930,NA,PRIVATE,11
NO,32,0,0,1904,NA,PRIVATE,11
NO,21,0,0,1911,NA,PRIVATE,11
NO,63,0,0,1965,2013,PRIVATE,11
NO,130,0,0,1960,2015,PRIVATE,11
NO,49,0,0,1934,NA,PRIVATE,12
NO,272,0,0,1968,2010,PRIVATE,12
YES,284,2,0.6993006993006993,1965,2014,PRIVATE,12
NO,48,0,0,1968,2017,PRIVATE,12
NA,14,0,0,1956,NA,PRIVATE,12
YES,104,1,0.9523809523809524,1987,2012,TCHC,15
YES,48,0,0,1962,2010,PRIVATE,11
NO,70,0,0,1965,2013,PRIVATE,11
YES,64,0,0,1969,2013,PRIVATE,11
NO,82,0,0,1966,1995,PRIVATE,11
NO,80,0,0,1955,1999,PRIVATE,12
NO,50,0,0,1955,2004,PRIVATE,12
NO,13,0,0,1970,NA,PRIVATE,12
YES,117,1,0.847457627118644,1957,2008,PRIVATE,12
YES,165,3,1.7857142857142856,1969,NA,PRIVATE,12
NO,19,0,0,1930,NA,SOCIAL HOUSING,12
NO,34,0,0,1930,2015,PRIVATE,12
NO,68,0,0,1928,2010,PRIVATE,12
NO,24,0,0,1962,NA,PRIVATE,12
NO,32,0,0,1923,NA,PRIVATE,12
NO,42,0,0,1955,NA,PRIVATE,12
NO,32,0,0,2009,NA,SOCIAL HOUSING,05
NO,13,0,0,1955,NA,PRIVATE,03
NO,18,0,0,1954,NA,PRIVATE,19
YES,638,0,0,1976,NA,PRIVATE,04
YES,115,0,0,2019,NA,PRIVATE,03
NO,18,0,0,1924,NA,PRIVATE,09
NO,40,0,0,1989,NA,PRIVATE,13
NO,15,0,0,1954,NA,PRIVATE,20
NO,15,0,0,1954,NA,PRIVATE,20
YES,0,21,100,1965,NA,PRIVATE,19
NO,16,0,0,1917,NA,PRIVATE,04
NO,10,0,0,1920,NA,SOCIAL HOUSING,04
NO,15,0,0,1930,NA,PRIVATE,13
NO,21,0,0,1920,NA,PRIVATE,19
YES,11,0,0,1950,NA,PRIVATE,16
YES,231,102,30.630630630630627,2021,NA,PRIVATE,10
YES,167,68,28.936170212765955,2019,NA,PRIVATE,08
NO,18,0,0,1929,NA,PRIVATE,09
NO,11,0,0,1885,NA,PRIVATE,09
NO,34,0,0,1928,NA,PRIVATE,13
YES,61,0,0,1960,2017,PRIVATE,20
NO,16,0,0,1973,NA,TCHC,17
YES,214,135,38.68194842406877,2022,NA,PRIVATE,02
NO,17,0,0,1888,NA,PRIVATE,13
NO,31,0,0,1948,NA,PRIVATE,14
NO,10,0,0,1951,NA,PRIVATE,15
YES,22,4,15.384615384615385,1876,NA,SOCIAL HOUSING,13
NO,11,0,0,1950,NA,PRIVATE,03
NO,12,0,0,1962,NA,PRIVATE,01
NO,18,0,0,1965,NA,PRIVATE,19
NO,18,0,0,1928,NA,PRIVATE,19
YES,9,2,18.181818181818183,1970,NA,PRIVATE,19
NO,30,0,0,1910,NA,SOCIAL HOUSING,19
NO,13,0,0,1905,NA,TCHC,09
NO,20,0,0,1920,NA,PRIVATE,04
NO,24,0,0,1950,NA,PRIVATE,14
NO,12,0,0,1965,NA,PRIVATE,14
YES,137,23,14.374999999999998,2023,NA,PRIVATE,10
NO,11,0,0,2023,NA,PRIVATE,20
NA,12,0,0,NA,NA,PRIVATE,04
NO,11,0,0,1951,NA,PRIVATE,02
NA,380,0,0,2022,NA,PRIVATE,10
YES,296,0,0,2019,2019,PRIVATE,12
YES,134,1,0.7407407407407408,1986,2008,TCHC,10
YES,99,9,8.333333333333332,NA,NA,SOCIAL HOUSING,13
NO,16,0,0,1970,NA,PRIVATE,19
NO,13,0,0,1952,NA,PRIVATE,20
NO,12,0,0,1960,NA,PRIVATE,19
NO,13,0,0,1952,NA,PRIVATE,02
NO,13,0,0,1952,NA,PRIVATE,02
YES,13,1,7.142857142857142,1971,NA,TCHC,02
NO,42,0,0,1898,NA,PRIVATE,11
NO,26,0,0,2002,NA,SOCIAL HOUSING,14
NO,27,0,0,1930,NA,PRIVATE,12
NO,12,0,0,1975,NA,PRIVATE,25
NO,17,0,0,1940,NA,PRIVATE,15
YES,97,0,0,1963,2016,PRIVATE,01
YES,128,0,0,1984,NA,SOCIAL HOUSING,05
NA,12,0,0,NA,NA,PRIVATE,19
NO,12,0,0,1953,NA,PRIVATE,19
NO,15,0,0,1962,NA,PRIVATE,20
YES,161,2,1.2269938650306749,1974,2012,PRIVATE,20
YES,220,3,1.345291479820628,1964,2014,TCHC,20
NO,11,0,0,1960,NA,PRIVATE,20
YES,34,0,0,1962,2017,PRIVATE,20
NO,11,0,0,1956,NA,PRIVATE,20
NO,153,0,0,1970,2010,PRIVATE,07
YES,171,0,0,1971,2007,PRIVATE,07
NO,67,0,0,1971,1990,PRIVATE,18
NO,84,0,0,1974,2013,PRIVATE,15
NO,54,0,0,1959,NA,PRIVATE,15
YES,23,4,14.814814814814813,1955,NA,PRIVATE,03
NO,51,0,0,1956,NA,PRIVATE,03
YES,30,0,0,1954,NA,PRIVATE,03
NO,31,0,0,1955,NA,PRIVATE,03
NO,30,0,0,1954,NA,PRIVATE,03
NO,26,0,0,1955,NA,PRIVATE,21
YES,58,1,1.694915254237288,1960,2017,PRIVATE,21
YES,100,0,0,1963,NA,PRIVATE,21
NO,356,0,0,1973,NA,PRIVATE,07
NO,291,0,0,1975,NA,PRIVATE,07
YES,12,3,20,2008,NA,TCHC,07
NO,75,0,0,1969,2007,PRIVATE,07
YES,344,0,0,1969,2012,PRIVATE,16
YES,327,0,0,1974,2012,PRIVATE,16
NO,45,0,0,1960,2016,PRIVATE,03
YES,15,1,6.25,1953,NA,PRIVATE,03
NO,16,0,0,1954,NA,PRIVATE,03
NO,50,0,0,1958,2005,PRIVATE,03
YES,329,0,0,1967,2011,PRIVATE,02
YES,230,0,0,1965,2012,PRIVATE,04
YES,35,0,0,1959,2016,PRIVATE,12
NO,11,0,0,1940,NA,PRIVATE,09
YES,72,0,0,1993,NA,SOCIAL HOUSING,21
NO,72,0,0,1964,NA,PRIVATE,21
NO,18,0,0,1955,NA,PRIVATE,20
NO,42,0,0,1960,2005,PRIVATE,05
NO,51,0,0,1961,NA,PRIVATE,05
YES,0,110,100,1954,2008,PRIVATE,05
YES,70,1,1.4084507042253522,1961,NA,PRIVATE,05
YES,57,0,0,1960,NA,PRIVATE,05
NO,60,0,0,1960,2006,PRIVATE,05
NO,64,1,1.5384615384615385,1962,2016,PRIVATE,16
NO,304,0,0,1970,NA,PRIVATE,16
YES,207,14,6.334841628959276,1993,NA,SOCIAL HOUSING,16
NO,206,0,0,1970,2012,PRIVATE,17
NO,137,0,0,1969,2012,PRIVATE,17
YES,349,1,0.2857142857142857,1979,2009,TCHC,03
NO,414,2,0.4807692307692308,1974,NA,PRIVATE,03
YES,0,42,100,1959,NA,PRIVATE,03
NO,34,0,0,1962,NA,PRIVATE,15
NO,26,0,0,1960,NA,PRIVATE,15
NO,23,0,0,1958,NA,PRIVATE,15
NO,27,0,0,1965,NA,PRIVATE,15
NO,11,0,0,1955,NA,PRIVATE,06
YES,144,0,0,1961,2007,PRIVATE,06
YES,236,3,1.2552301255230125,1986,2002,TCHC,18
NO,47,0,0,1961,NA,PRIVATE,18
NA,30,0,0,NA,NA,PRIVATE,18
YES,0,96,100,1959,2005,PRIVATE,18
NA,11,0,0,1927,NA,PRIVATE,12
YES,84,0,0,2005,NA,SOCIAL HOUSING,10
NO,45,0,0,1958,NA,PRIVATE,03
NO,25,0,0,1926,NA,PRIVATE,12
NO,16,0,0,1932,NA,PRIVATE,20
NO,51,0,0,1956,NA,PRIVATE,20
NO,41,0,0,1926,NA,PRIVATE,12
NO,18,0,0,1957,NA,PRIVATE,12
NO,18,0,0,1959,NA,PRIVATE,12
NO,49,0,0,1929,2009,PRIVATE,12
NO,87,0,0,1959,2006,PRIVATE,12
YES,0,173,100,1957,NA,PRIVATE,12
YES,0,235,100,1957,NA,PRIVATE,12
NO,29,0,0,1959,NA,PRIVATE,12
NO,39,0,0,1955,NA,PRIVATE,12
YES,11,0,0,1960,2016,PRIVATE,08
YES,179,1,0.5555555555555556,1979,2016,TCHC,10
NO,12,0,0,1951,2017,PRIVATE,08
YES,0,64,100,1965,2013,PRIVATE,08
NO,111,0,0,1961,2013,PRIVATE,08
NO,62,0,0,1953,2017,PRIVATE,08
NO,22,0,0,1930,NA,PRIVATE,13
NO,10,0,0,1809,NA,PRIVATE,13
YES,67,8,10.666666666666668,1992,NA,SOCIAL HOUSING,13
NO,16,0,0,1939,NA,PRIVATE,13
NO,18,0,0,1920,NA,PRIVATE,12
NO,31,0,0,1955,NA,PRIVATE,12
NO,447,0,0,1969,2013,PRIVATE,13
NO,11,0,0,1907,NA,PRIVATE,11
NO,37,0,0,1923,NA,PRIVATE,13
NO,47,0,0,1979,NA,PRIVATE,13
NO,27,0,0,1909,NA,PRIVATE,13
NO,17,0,0,1955,NA,PRIVATE,08
NO,63,0,0,1954,2017,PRIVATE,08
NO,64,0,0,1929,NA,PRIVATE,08
NO,25,0,0,1957,NA,PRIVATE,08
NO,102,0,0,1956,NA,PRIVATE,19
YES,0,62,100,1960,NA,PRIVATE,19
YES,60,1,1.639344262295082,1960,1996,PRIVATE,13
NO,48,0,0,1931,NA,PRIVATE,13
NO,32,0,0,1917,2015,PRIVATE,13
YES,105,1,0.9433962264150944,1965,2015,PRIVATE,19
NO,235,0,0,1974,2010,PRIVATE,19
NO,18,0,0,1910,NA,PRIVATE,04
NO,32,0,0,1960,2011,PRIVATE,04
YES,0,101,100,1963,NA,PRIVATE,13
NO,35,0,0,1910,NA,PRIVATE,13
NO,26,0,0,1915,NA,PRIVATE,13
NO,21,0,0,1915,NA,PRIVATE,11
YES,250,1,0.398406374501992,1982,2010,TCHC,10
NO,30,0,0,1960,NA,PRIVATE,14
NO,30,0,0,1965,NA,PRIVATE,14
NO,37,0,0,1960,NA,PRIVATE,14
YES,330,0,0,1969,2007,PRIVATE,04
YES,61,0,0,1994,NA,SOCIAL HOUSING,05
NO,216,0,0,1963,NA,PRIVATE,04
NO,19,1,5,1985,NA,TCHC,13
NO,26,0,0,1991,NA,SOCIAL HOUSING,13
NO,57,0,0,1957,NA,PRIVATE,11
NO,105,0,0,1968,2015,PRIVATE,11
YES,95,0,0,1965,2019,PRIVATE,12
NO,97,0,0,1937,2009,PRIVATE,12
NO,19,0,0,1929,NA,PRIVATE,12
NO,51,0,0,1931,2007,PRIVATE,12
NO,24,0,0,1925,NA,PRIVATE,12
NO,31,0,0,1931,NA,PRIVATE,12
NO,32,0,0,1935,2017,PRIVATE,12
NO,20,0,0,1930,NA,PRIVATE,12
NO,62,0,0,1955,2008,PRIVATE,12
NO,35,0,0,1920,NA,PRIVATE,12
NO,20,0,0,1915,NA,PRIVATE,12
NO,26,0,0,1948,NA,PRIVATE,11
YES,457,0,0,1976,NA,PRIVATE,04
NO,13,0,0,1955,NA,PRIVATE,03
YES,44,0,0,2003,NA,SOCIAL HOUSING,19
NO,15,0,0,1900,NA,PRIVATE,12
NO,83,0,0,1979,NA,PRIVATE,16
NO,60,9,13.043478260869565,1960,2016,PRIVATE,16
YES,60,0,0,1960,NA,PRIVATE,16
YES,0,234,100,1966,NA,PRIVATE,16
NO,64,0,0,1961,NA,PRIVATE,16
NO,81,0,0,1965,2012,PRIVATE,01
YES,80,0,0,1964,2016,PRIVATE,01
YES,130,5,3.7037037037037033,1967,2016,TCHC,07
YES,1,80,98.76543209876543,1960,2020,PRIVATE,20
YES,52,1,1.8867924528301887,1981,NA,SOCIAL HOUSING,20
YES,-3,239,101.27118644067797,1965,2000,PRIVATE,24
YES,159,0,0,1969,2012,PRIVATE,24
YES,121,3,2.4193548387096775,1993,2017,TCHC,06
NO,27,0,0,1968,2015,PRIVATE,06
NO,11,0,0,1965,NA,PRIVATE,06
YES,20,2,9.090909090909092,1953,NA,SOCIAL HOUSING,20
YES,292,0,0,1978,2013,PRIVATE,13
NO,11,0,0,1949,NA,PRIVATE,06
NO,11,0,0,1949,NA,PRIVATE,06
NA,27,0,0,1920,NA,PRIVATE,13
NO,15,0,0,1954,NA,PRIVATE,20
NO,26,0,0,1928,NA,PRIVATE,13
NO,27,0,0,1950,NA,PRIVATE,12
YES,53,1,1.8518518518518516,1980,NA,TCHC,10
YES,40,1,2.4390243902439024,1990,2001,TCHC,15
YES,29,1,3.3333333333333335,2005,NA,SOCIAL HOUSING,13
YES,11,0,0,1960,NA,PRIVATE,16
NO,47,0,0,1918,NA,PRIVATE,10
NO,20,0,0,1889,NA,PRIVATE,13
YES,264,0,0,2021,NA,PRIVATE,04
NO,16,0,0,1973,NA,TCHC,17
NO,16,0,0,1973,NA,TCHC,17
YES,118,34,22.36842105263158,2021,2021,PRIVATE,09
YES,82,0,0,2019,NA,PRIVATE,12
NO,12,0,0,1960,NA,PRIVATE,19
YES,91,0,0,1980,NA,SOCIAL HOUSING,14
NO,18,0,0,1971,NA,PRIVATE,19
NO,18,0,0,1954,NA,PRIVATE,03
NO,12,0,0,1940,NA,PRIVATE,19
NO,22,0,0,1960,NA,PRIVATE,03
NO,32,0,0,1967,2011,PRIVATE,16
NO,12,0,0,1956,NA,PRIVATE,12
YES,359,81,18.409090909090907,2021,NA,PRIVATE,10
NO,12,0,0,1965,NA,PRIVATE,14
YES,11,0,0,1950,NA,PRIVATE,19
NO,11,0,0,1953,NA,PRIVATE,05
YES,288,0,0,2019,NA,PRIVATE,12
YES,335,0,0,1970,2017,PRIVATE,19
NO,34,0,0,1952,NA,PRIVATE,11
NO,24,0,0,1950,NA,PRIVATE,14
NO,11,0,0,1945,NA,PRIVATE,18
YES,21,1,4.545454545454546,1980,1995,TCHC,21
NA,24,0,0,NA,NA,TCHC,21
YES,157,20,11.299435028248588,2013,NA,PRIVATE,13
NO,13,0,0,1952,NA,PRIVATE,02
NO,17,0,0,1930,NA,PRIVATE,14
YES,210,0,0,1940,2009,PRIVATE,11
NO,27,0,0,1957,NA,PRIVATE,03
NO,17,0,0,1960,NA,PRIVATE,15
NO,26,0,0,1969,NA,PRIVATE,11
NO,28,0,0,1930,NA,PRIVATE,12
NO,12,0,0,1975,NA,PRIVATE,25
NO,90,0,0,1963,2009,PRIVATE,02
NO,91,0,0,1963,2005,PRIVATE,02
YES,97,0,0,1963,2016,PRIVATE,01
NO,292,1,0.3412969283276451,2005,NA,PRIVATE,13
YES,95,0,0,2016,NA,PRIVATE,09
NO,43,0,0,1958,NA,PRIVATE,21
YES,320,17,5.044510385756676,2017,NA,PRIVATE,13
YES,90,0,0,1957,NA,PRIVATE,08
YES,0,77,100,2018,NA,TCHC,08
NO,12,0,0,1954,NA,PRIVATE,19
YES,52,0,0,1962,2014,PRIVATE,20
YES,17,1,5.555555555555555,1955,NA,PRIVATE,20
